track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals
KSJT20250201-1,KSJT20250202_003935_V06,0,0.483,1.200,1045,0,6897.833
KSJT20250201-1,KSJT20250202_003935_V06,2,0.879,1.200,1046,0,96.891
KSJT20250201-1,KSJT20250202_003935_V06,4,1.318,1.200,1044,0,0.463
KSJT20250201-1,KSJT20250202_003935_V06,6,1.802,1.200,525,0,0.207
KSJT20250201-1,KSJT20250202_003935_V06,7,2.417,1.200,526,0,0.207
KSJT20250201-1,KSJT20250202_003935_V06,8,3.120,1.200,524,0,0.207
KSJT20250201-1,KSJT20250202_003935_V06,9,3.999,1.200,523,0,0.207
KSJT20250201-3,KSJT20250202_021555_V06,0,0.483,1.200,2718,63,245097.669
KSJT20250201-3,KSJT20250202_021555_V06,2,0.879,1.200,2714,0,4762.488
KSJT20250201-3,KSJT20250202_021555_V06,4,1.318,1.200,2719,0,820.781
KSJT20250201-3,KSJT20250202_021555_V06,6,1.802,1.200,1351,0,32.926
KSJT20250201-3,KSJT20250202_021555_V06,7,2.417,1.200,1355,0,12.514
KSJT20250201-3,KSJT20250202_021555_V06,8,3.120,1.200,1354,0,5.019
KSJT20250201-3,KSJT20250202_021555_V06,9,3.999,1.200,1356,0,9.481
KSJT20250203-1,KSJT20250203_232131_V06,0,0.483,1.200,2300,31,146727.722
KSJT20250203-1,KSJT20250203_232131_V06,2,0.879,1.200,2303,0,2210.839
KSJT20250203-1,KSJT20250203_232131_V06,4,1.318,1.200,2300,0,360.817
KSJT20250203-1,KSJT20250203_232131_V06,6,1.802,1.200,1144,0,14.757
KSJT20250203-1,KSJT20250203_232131_V06,7,2.417,1.200,1144,0,8.065
KSJT20250203-1,KSJT20250203_232131_V06,8,3.120,1.200,1143,0,1.124
KSJT20250203-1,KSJT20250203_232131_V06,9,3.999,1.200,1145,0,6.614
KSJT20250204-4,KSJT20250205_005142_V06,0,0.483,1.200,12827,0,9665.370
KSJT20250204-4,KSJT20250205_005142_V06,2,0.879,1.200,12829,0,8888.060
KSJT20250204-4,KSJT20250205_005142_V06,4,1.318,1.200,12830,1,2296.682
KSJT20250204-4,KSJT20250205_005142_V06,6,1.802,1.200,6410,0,475.863
KSJT20250204-4,KSJT20250205_005142_V06,7,2.417,1.200,6414,0,45.636
KSJT20250204-4,KSJT20250205_005142_V06,8,3.120,1.200,6419,0,45.513
KSJT20250204-4,KSJT20250205_005142_V06,9,3.999,1.200,6425,0,9.381
KSJT20250204-4,KSJT20250205_005142_V06,10,5.098,1.200,6440,0,1.391
KSJT20250204-4,KSJT20250205_005142_V06,11,6.416,1.200,6459,0,0.794
KSJT20250204-4,KSJT20250205_010515_V06,0,0.483,1.200,46202,0,28683.935
KSJT20250204-4,KSJT20250205_010515_V06,2,0.879,1.200,46208,0,13154.236
KSJT20250204-4,KSJT20250205_010515_V06,4,1.318,1.200,46214,0,1804.352
KSJT20250204-4,KSJT20250205_010515_V06,6,1.802,1.200,23120,0,267.106
KSJT20250204-4,KSJT20250205_010515_V06,7,2.417,1.200,23131,0,58.684
KSJT20250204-4,KSJT20250205_010515_V06,8,3.120,1.200,23146,0,19.566
KSJT20250204-4,KSJT20250205_010515_V06,9,3.999,1.200,23170,0,11.556
KSJT20250204-4,KSJT20250205_010515_V06,10,5.098,1.200,23213,0,11.123
KSJT20250204-4,KSJT20250205_010515_V06,11,6.416,1.200,23263,0,7.436
KSJT20250204-1,KSJT20250205_002255_V06,0,0.483,1.200,196,0,293.094
KSJT20250204-1,KSJT20250205_002255_V06,2,0.879,1.200,194,0,5.348
KSJT20250204-1,KSJT20250205_002255_V06,4,1.318,1.200,194,0,0.027
KSJT20250204-1,KSJT20250205_002255_V06,6,1.802,1.200,99,0,0.027
KSJT20250204-1,KSJT20250205_002255_V06,7,2.417,1.200,98,0,0.027
KSJT20250204-1,KSJT20250205_002255_V06,8,3.120,1.200,99,0,0.027
KSJT20250204-1,KSJT20250205_002255_V06,9,3.999,1.200,100,0,0.448
KSJT20250204-2,KSJT20250205_002255_V06,0,0.483,1.200,6441,5,21577.015
KSJT20250204-2,KSJT20250205_002255_V06,2,0.879,1.200,6443,1,3120.714
KSJT20250204-2,KSJT20250205_002255_V06,4,1.318,1.200,6441,0,55.305
KSJT20250204-2,KSJT20250205_002255_V06,6,1.802,1.200,3215,0,15.407
KSJT20250204-2,KSJT20250205_002255_V06,7,2.417,1.200,3216,0,1.561
KSJT20250204-2,KSJT20250205_002255_V06,8,3.120,1.200,3217,0,1.035
KSJT20250204-2,KSJT20250205_002255_V06,9,3.999,1.200,3227,0,0.600
KSJT20250204-2,KSJT20250205_002255_V06,10,5.098,1.200,3229,0,1.402
KSJT20250204-2,KSJT20250205_002255_V06,11,6.416,1.200,3233,0,0.758
KSJT20250204-5,KSJT20250205_010515_V06,0,0.483,1.200,836,0,9737.510
KSJT20250204-5,KSJT20250205_010515_V06,2,0.879,1.200,838,0,56.427
KSJT20250204-5,KSJT20250205_010515_V06,4,1.318,1.200,839,0,0.415
