track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels
1,KSJT20240730_021443_V06,35.251,0.073,422.612,320.928,21.670,-99.848,31.275,10834.862,62192.609,20240729_211443,479168,255
1,KSJT20240730_022137_V06,42.151,-1.000,422.612,320.928,32.641,-99.848,31.275,16320.362,62192.609,20240729_212137,479165,238
1,KSJT20240730_022817_V06,48.818,0.138,419.191,321.896,19.021,-99.866,31.271,9510.536,60592.600,20240729_212817,479173,261
5,KSJT20240730_021443_V06,35.251,0.090,555.208,460.127,12.912,-99.161,30.642,6456.037,150641.767,20240729_211443,479168,255
9,KSJT20240730_022137_V06,42.151,0.061,376.188,305.800,7.573,-100.092,31.344,3786.289,38204.368,20240729_212137,479165,238
4,KSJT20240731_021442_V06,35.971,0.056,312.240,272.778,7.379,-100.428,31.494,3689.716,14923.483,20240730_211442,479172,227
4,KSJT20240731_022127_V06,42.721,0.317,310.140,277.589,14.738,-100.439,31.472,7368.755,12299.335,20240730_212127,479171,247
4,KSJT20240731_022812_V06,49.471,0.167,309.554,284.571,15.743,-100.442,31.441,7871.469,9073.692,20240730_212812,479166,261
4,KSJT20240731_023457_V06,56.221,0.079,310.797,287.065,17.511,-100.435,31.429,8755.546,8424.287,20240730_213457,479177,236
1,KSJT20240731_020753_V06,29.154,0.098,286.050,251.097,8.645,-100.566,31.592,4322.418,25427.091,20240730_210753,479170,287
1,KSJT20240731_021442_V06,35.971,0.824,287.593,250.900,12.038,-100.558,31.593,6019.191,25321.572,20240730_211442,479172,227
1,KSJT20240731_022127_V06,42.721,0.603,285.007,246.215,16.021,-100.571,31.614,8010.428,27917.786,20240730_212127,479171,247
2,KSJT20240731_020753_V06,29.154,0.062,420.088,325.407,14.013,-99.862,31.255,7006.527,61373.331,20240730_210753,479170,287
2,KSJT20240731_021442_V06,35.971,0.073,419.716,325.206,20.735,-99.864,31.256,10367.537,61170.130,20240730_211442,479172,227
2,KSJT20240731_022127_V06,42.721,-1.000,419.389,325.029,27.858,-99.865,31.257,13928.750,60991.976,20240730_212127,479171,247
2,KSJT20240731_022812_V06,49.471,0.370,415.066,321.544,15.035,-99.888,31.273,7517.471,58532.825,20240730_212812,479166,261
2,KSJT20240801_020425_V06,26.445,0.071,287.386,251.518,7.086,-100.559,31.590,3543.098,25048.010,20240731_210425,479174,245
2,KSJT20240801_021106_V06,33.128,0.063,287.896,250.898,13.786,-100.556,31.593,6893.053,25285.964,20240731_211106,479172,273
2,KSJT20240801_021748_V06,39.828,0.845,285.391,246.312,14.301,-100.569,31.613,7150.521,27820.283,20240731_211748,479175,256
2,KSJT20240801_022428_V06,46.495,0.251,285.648,246.241,17.408,-100.568,31.614,8704.076,27821.039,20240731_212428,479179,259
4,KSJT20240801_021106_V06,33.128,0.127,320.667,286.926,13.481,-100.384,31.430,6740.723,12227.708,20240731_211106,479172,273
4,KSJT20240801_021748_V06,39.828,0.452,319.430,285.493,18.998,-100.390,31.436,9499.183,12124.319,20240731_211748,479175,256
4,KSJT20240801_022428_V06,46.495,0.073,314.247,277.653,9.180,-100.417,31.472,4590.218,13251.025,20240731_212428,479179,259
4,KSJT20240801_023109_V06,53.178,-1.000,314.247,277.653,19.807,-100.417,31.472,9903.468,13251.025,20240731_213109,479171,264
4,KSJT20240801_023750_V06,59.861,0.055,313.829,279.425,23.228,-100.419,31.464,11614.151,12395.217,20240731_213750,479179,268
1,KSJT20240801_010852_V06,-29.105,0.121,426.655,323.978,17.592,-99.827,31.261,8796.124,64452.497,20240731_200852,479172,234
2,KSJT20240802_021329_V06,36.289,0.715,290.665,249.680,8.742,-100.541,31.598,4370.796,25589.391,20240801_211329,479173,229
2,KSJT20240802_022022_V06,43.173,0.444,290.251,247.956,18.097,-100.544,31.606,9048.505,26474.623,20240801_212022,479170,206
1,KSJT20240802_020644_V06,29.539,0.126,418.417,319.023,18.064,-99.870,31.284,9031.857,59967.404,20240801_210644,479172,254
5,KSJT20240803_020129_V06,25.088,0.061,424.962,324.992,14.227,-99.836,31.257,7113.609,63718.245,20240802_210129,479177,224
5,KSJT20240803_020821_V06,31.955,0.206,422.776,323.876,23.163,-99.848,31.262,11581.402,62538.121,20240802_210821,479173,218
5,KSJT20240803_021520_V06,38.938,0.506,418.478,323.963,18.008,-99.870,31.262,9004.108,60438.580,20240802_211520,479172,181
6,KSJT20240803_020821_V06,31.955,0.123,288.801,251.343,12.624,-100.551,31.591,6311.874,24964.819,20240802_210821,479173,218
6,KSJT20240803_021520_V06,38.938,0.197,288.787,250.885,20.391,-100.551,31.593,10195.671,25189.510,20240802_211520,479172,181
6,KSJT20240803_022213_V06,45.822,-1.000,288.776,250.483,28.408,-100.551,31.594,14203.969,25386.785,20240802_212213,479173,228
6,KSJT20240803_022912_V06,52.805,0.071,294.049,248.347,21.725,-100.524,31.604,10862.408,25997.557,20240802_212912,479170,203
4,KSJT20240803_010614_V06,-30.162,0.086,420.886,324.723,17.601,-99.858,31.258,8800.468,61693.926,20240802_200614,479181,111
8,KSJT20240803_021520_V06,38.938,0.366,307.643,284.550,9.657,-100.452,31.441,4828.491,8618.617,20240802_211520,479172,181
10,KSJT20240804_020524_V06,29.824,0.176,306.166,289.438,14.267,-100.460,31.419,7133.404,6115.043,20240803_210524,479192,669
10,KSJT20240804_020926_V06,33.857,-1.000,306.166,289.438,20.680,-100.460,31.419,10339.904,6115.043,20240803_210926,479187,547
10,KSJT20240804_021327_V06,37.874,0.483,307.403,290.699,22.626,-100.453,31.413,11312.953,5943.975,20240803_211327,479201,553
10,KSJT20240804_021728_V06,41.891,0.246,307.039,291.817,22.772,-100.455,31.408,11385.958,5397.182,20240803_211728,479194,567
10,KSJT20240804_022128_V06,45.891,0.295,308.142,290.597,24.686,-100.449,31.414,12343.131,6219.210,20240803_212128,479190,605
